"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"UT Rio Grande Valley",29,10,48.3,20.2,20.2,29.5,31.8,32.5,48,32.5,2017,"NO FINALISTA"
"Northwestern St.",25,13,50.1,20.8,19.2,29.6,32.4,41,47.9,36.3,2017,"NO FINALISTA"
"UC Riverside",27,8,45.7,19.9,19.1,26,29.9,30,44.9,31.6,2017,"NO FINALISTA"
"Norfolk St.",32,17,47.4,20.5,16.7,29.7,28.9,38,46.1,33.2,2017,"NO FINALISTA"
"Dartmouth",27,7,49.9,21.7,15.8,27.7,27,33.8,48.1,35.2,2017,"NO FINALISTA"
"Incarnate Word",25,12,51.4,18.6,16.6,22.2,32.4,43.6,48.2,37.8,2017,"NO FINALISTA"
"Radford",30,14,47.5,22.4,15.1,33.8,26.9,29.5,44.6,34.6,2017,"NO FINALISTA"
"Alcorn St.",29,18,47.9,20.4,18.6,31.9,31.2,32.8,47.9,32,2017,"NO FINALISTA"
"American",30,8,50.3,20.2,20.2,21.7,28,30.7,51.7,31.8,2017,"NO FINALISTA"
"Charleston Southern",28,12,48.7,16.2,16.8,27.4,27.4,35,48,33.3,2017,"NO FINALISTA"
"Central Arkansas",32,8,49.8,19.1,15.7,28.8,31.7,35.9,46.7,37.5,2017,"NO FINALISTA"
"North Texas",28,8,47.4,18.4,17.8,26.5,31.2,34.9,47.3,31.7,2017,"NO FINALISTA"
"Prairie View A&M",31,13,48.6,18.8,21.7,24.7,35,35.4,46.4,34.9,2017,"NO FINALISTA"
"SIU Edwardsville",28,6,45,20.3,18.3,31.6,28.5,45.7,45.5,29.2,2017,"NO FINALISTA"
"Stetson",29,11,49.9,14.9,15.1,21.1,33,32.6,49.9,33.4,2017,"NO FINALISTA"
"Savannah St.",27,13,49.5,17.8,19.3,27.6,35.8,32.3,52,31.8,2017,"NO FINALISTA"
"Morgan St.",29,14,42.5,19.8,20.1,34.8,31.2,37.8,42,29.2,2017,"NO FINALISTA"
"McNeese St.",26,7,47.5,19.8,17.9,25.4,36.2,34.4,46.2,33.4,2017,"NO FINALISTA"
"Binghamton",29,12,48.8,18.6,17.1,23.5,28.2,30.8,47.1,34.4,2017,"NO FINALISTA"
"UC Santa Barbara",27,6,42.1,18.3,17.6,30.8,29.6,28.8,41.7,28.5,2017,"NO FINALISTA"
"Northern Arizona",31,9,46.7,20.4,16.7,31.3,26.9,33.2,46.1,31.7,2017,"NO FINALISTA"
"Hampton",29,14,46.1,19.6,19.9,30.6,29.3,33.4,45,32.2,2017,"NO FINALISTA"
"Western Carolina",30,9,43.1,23.2,19.1,31.5,29,27.7,41.9,30.4,2017,"NO FINALISTA"
"VMI",28,6,48.1,18.9,17.9,26.6,32.3,29.5,48.2,32,2017,"NO FINALISTA"
"Maryland Eastern Shore",32,14,48.4,18,19.3,27.1,33.7,32.5,46.5,34.4,2017,"NO FINALISTA"
"Idaho St.",30,6,50.2,19.3,18.2,22,32.4,38.1,48.2,35.6,2017,"NO FINALISTA"
"Lafayette",29,9,49.1,20.7,18.2,20,29.1,29.4,49.2,32.6,2017,"NO FINALISTA"
"Southern Utah",31,6,47.7,18.4,16.7,29.4,29.4,40.3,43,36.3,2017,"NO FINALISTA"
"Jackson St.",29,14,44.2,18.5,19.8,34,28.7,33.7,44,29.8,2017,"NO FINALISTA"
"Southern Miss",29,9,45,18.1,16.6,22.3,25.8,29.3,45.4,29.6,2017,"NO FINALISTA"
"Southern",30,15,47.8,19.8,17.2,34.2,33.7,42.8,47.6,32.1,2017,"NO FINALISTA"
"Grambling St.",30,15,46.8,20.2,24.3,32,35,38.1,46.6,31.5,2017,"NO FINALISTA"
"Hartford",32,9,47.5,20.4,18.4,24.7,34.3,32.6,45,33.9,2017,"NO FINALISTA"
"Bethune Cookman",30,10,46.8,17.7,19.6,31.1,35.6,28.2,45.9,32.3,2017,"NO FINALISTA"
"Maine",31,7,45.5,19.1,16.6,26.9,28.8,29.6,44.8,31.2,2017,"NO FINALISTA"
"Delaware St.",30,10,47.8,19.6,20.3,28.5,37.2,30.1,44.7,35.1,2017,"NO FINALISTA"
"South Carolina St.",29,11,47.4,18,17.6,28.1,35.8,30.4,47.1,32,2017,"NO FINALISTA"
"Chicago St.",29,6,42.4,19.6,18.3,26.1,31.1,27.8,40.7,30.4,2017,"NO FINALISTA"
"Howard",32,10,43.4,21.5,18.2,32.3,33.3,43.4,43.3,29,2017,"NO FINALISTA"
"Central Connecticut",29,6,46.7,21.2,20.2,31.5,32.5,33.3,44.6,35.1,2017,"NO FINALISTA"
"Mississippi Valley St.",32,7,46.6,19.7,19.5,30.4,33.9,33.5,44.9,34.3,2017,"NO FINALISTA"
"Florida A&M",28,7,46.5,18.5,18.9,26.3,34.7,37.6,44.7,33.9,2017,"NO FINALISTA"
"Alabama St.",30,8,44.3,22,18,34.5,31.8,34.6,44.4,29.4,2017,"NO FINALISTA"
"Coppin St.",30,8,43.9,19.1,18.9,28,33.1,40,41.7,31.7,2017,"NO FINALISTA"
"St. Francis NY",30,4,41,17.4,20,27.9,33.4,31.8,40.1,28.2,2017,"NO FINALISTA"
"Longwood",28,6,49.3,21.9,17.4,21.5,34.1,29,49.6,32.5,2017,"NO FINALISTA"
"North Carolina A&T",30,3,47.6,21.7,14.3,31.8,32.9,33.4,47.3,32.2,2017,"NO FINALISTA"
"Arkansas Pine Bluff",30,6,46,25.9,23.5,29.9,35.4,32.8,42.9,34.4,2017,"NO FINALISTA"
"Presbyterian",28,5,45.5,23.3,16.9,29,31.9,27.7,43.2,33.6,2017,"NO FINALISTA"
"Alabama A&M",29,2,44.3,19.8,14,29.3,36.2,39.5,45.6,27.5,2017,"NO FINALISTA"
"Villanova",40,36,59.5,15,18.2,29.6,27.1,29.4,59,40.1,2018,"FINALISTA"
"Virginia",34,31,52.7,14,20.9,27,25.6,24.5,50.1,38.3,2018,"FINALISTA"
"Duke",37,29,55.9,17.5,17.3,38.8,30,34.6,56,37.2,2018,"FINALISTA"
"Purdue",37,30,57.7,15.8,17.7,28,28,35.6,54.1,42,2018,"FINALISTA"
"Cincinnati",36,31,51.2,17,21.6,38.5,28.2,36,50.2,35.3,2018,"FINALISTA"
"Kansas",39,31,57.5,16.6,18.2,29.4,31.2,27,55.6,40.1,2018,"FINALISTA"
"Michigan",40,33,53.9,14,19.5,25.5,24.9,30.7,54.7,35.2,2018,"FINALISTA"
"West Virginia",37,26,50.4,16.5,23.3,37,30.1,31.3,48.8,35.3,2018,"FINALISTA"
"Michigan St.",35,30,56.9,19.2,14.6,37,26.6,35.9,55.2,40.1,2018,"FINALISTA"
"North Carolina",37,26,52,16.7,16.3,37.4,25.5,28,51,35.9,2018,"FINALISTA"
"Tennessee",35,26,50.8,17.9,20.4,33.4,31.1,35.5,47.3,38,2018,"FINALISTA"
"Xavier",35,29,55.9,17.2,15.7,30.2,23.1,41,55.9,37.2,2018,"FINALISTA"
"Gonzaga",37,32,57,16.1,17.4,33,23.1,32.1,58.2,36.8,2018,"FINALISTA"
"Texas Tech",37,27,52,17.8,21.7,32.9,28.7,39.3,51.1,35.9,2018,"FINALISTA"
"Ohio St.",34,25,54.1,17.1,17.9,30.2,25.2,31.1,54.7,35.3,2018,"FINALISTA"
"Penn St.",39,26,52.6,17.3,19.5,31.7,28.2,31.5,49.8,38.7,2018,"NO FINALISTA"
"Florida",34,21,50.8,14.3,20,28.7,30.5,32.6,47.6,37,2018,"FINALISTA"
"Houston",35,27,53.3,17.5,19.1,33.8,25.8,32.6,50.5,38.7,2018,"FINALISTA"
"Butler",35,21,54,15.7,19.5,27.6,24.6,26.1,54.3,35.7,2018,"FINALISTA"
"Kentucky",37,26,51.8,18.6,16.8,35.7,31,44,51.2,35.7,2018,"FINALISTA"
"Clemson",35,25,52.9,17.4,17.4,27.2,26.3,33.5,51.6,36.6,2018,"FINALISTA"
"Seton Hall",34,22,52.9,17.8,17.7,34.3,28.4,35.2,52,36.5,2018,"FINALISTA"
"Creighton",32,21,57.4,15.6,15.8,22.5,24.6,26.5,58.7,37.2,2018,"FINALISTA"
"TCU",33,21,56.5,17.8,17.4,34.2,26.1,34.1,55.1,39.4,2018,"FINALISTA"
"Auburn",34,26,50.8,16.4,20.7,32.1,28,39.8,48.7,35.7,2018,"FINALISTA"
"Wichita St.",33,25,55.1,16.5,16.3,35.4,22.6,34.8,53.8,38.1,2018,"FINALISTA"
"Texas A&M",35,22,51.4,19.2,15.3,33.9,27.3,32,52.5,32.9,2018,"FINALISTA"
"Florida St.",35,23,53.2,17.8,19.4,32.3,29.8,37,53.6,35,2018,"FINALISTA"
"Miami FL",32,22,53.1,16.8,18.8,29.1,28.2,29.1,52.2,36.4,2018,"FINALISTA"
"Kansas St.",37,25,52.6,17.2,21.6,25.9,31.9,33.8,53.4,34.1,2018,"FINALISTA"
"Virginia Tech",33,21,57.7,17,18.6,23.9,29.4,36.5,57.3,38.8,2018,"FINALISTA"
"Texas",34,19,50,17,18,29.4,29.1,33,51.2,32,2018,"FINALISTA"
"Maryland",31,19,54.3,20.4,16.3,31.4,28.2,37.9,53.9,36.8,2018,"NO FINALISTA"
"Arizona",35,27,56.3,17.5,16.7,33.2,25.1,36.9,56.7,36.9,2018,"FINALISTA"
"Oklahoma St.",36,21,49.8,18.1,20.3,34.2,31.1,32.2,48.3,34.8,2018,"NO FINALISTA"
"San Diego St.",32,22,51.7,17,19,31.6,25,35.1,52,34.1,2018,"FINALISTA"
"Louisville",36,22,51.8,16.7,18.9,28.6,31.4,31.9,49.7,37.1,2018,"NO FINALISTA"
"Arkansas",35,23,53.8,15.1,19.4,28.8,31.7,37.4,51.2,39.5,2018,"FINALISTA"
"Saint Mary's",36,30,58.7,15.4,15.1,28.9,22.8,30.4,57.1,41,2018,"NO FINALISTA"
"Nevada",37,29,54.8,13.5,18,26.7,29.3,36.3,52.1,39.2,2018,"FINALISTA"
"Loyola Chicago",37,32,57.7,19.1,19.4,22.1,25.9,32.2,56.6,39.8,2018,"FINALISTA"
"Marquette",35,21,56.8,17.3,18.1,27.6,29.6,28.8,52.2,41.7,2018,"NO FINALISTA"
"Baylor",33,19,51.8,19.8,17.2,35.5,29.7,32.2,51.3,35.4,2018,"NO FINALISTA"
"USC",36,24,53.8,15.3,19.2,30,28.8,29.9,52.4,37.6,2018,"NO FINALISTA"
"Missouri",32,20,54.1,20.8,16,30.3,27.9,38.3,50.3,39,2018,"FINALISTA"
"Oklahoma",32,18,53.5,17.3,16.8,28.4,30,33.2,53.3,35.9,2018,"FINALISTA"
"Syracuse",37,23,46.9,19.1,19.5,34.7,30.4,40.5,46.6,31.7,2018,"FINALISTA"
"Mississippi St.",36,25,52.2,19.1,19.5,32.1,30.7,31.7,55.2,31.5,2018,"NO FINALISTA"
"Nebraska",33,22,49.1,16,18.3,30.1,34,37.6,47.6,34.6,2018,"NO FINALISTA"
"Notre Dame",35,21,51.1,14.7,16.4,31.1,28.8,31,49.6,35.6,2018,"NO FINALISTA"
"Davidson",33,21,57.4,14.5,16.2,22.6,23.4,24.6,56.5,38.9,2018,"FINALISTA"
"North Carolina St.",33,21,53.4,16.8,20.4,33.4,32,34.2,52.1,37.2,2018,"FINALISTA"
"Middle Tennessee",32,25,53.1,18.6,19.1,30.7,22.3,30.1,51.9,37.1,2018,"NO FINALISTA"
"Utah",35,23,54.5,17.5,17.5,24.1,28.6,34.4,53.6,37,2018,"NO FINALISTA"
"Arizona St.",32,20,53.8,14.7,20.4,28,30.6,41.3,53.2,36.4,2018,"FINALISTA"
"Boise St.",31,23,53.8,18.9,16.4,29.3,18.4,31,52,37.5,2018,"NO FINALISTA"
"Alabama",36,20,51.9,20.3,18.7,29.4,30.9,41.9,53.5,32.6,2018,"FINALISTA"
"Western Kentucky",37,27,54.2,16.6,17.9,29,29.3,40,54.6,35.4,2018,"NO FINALISTA"
"UCLA",33,21,53.7,16.6,14.5,28.5,26.9,35.5,51.4,38.1,2018,"FINALISTA"
"Providence",35,21,49.6,17.4,19,28.9,29,38.6,49.5,33.2,2018,"FINALISTA"
"Georgia",33,18,47.5,19.2,14.5,34.8,28.9,40.1,47.4,31.8,2018,"NO FINALISTA"
"South Dakota St.",31,28,54.3,14,14.2,24.6,23.3,35.4,50.7,39.3,2018,"FINALISTA"
"Rhode Island",34,26,51.1,15.3,22.6,31,28.2,30.1,50.4,35.2,2018,"FINALISTA"
"New Mexico St.",31,28,51.6,17.4,19,33.8,22.5,29.1,52,34,2018,"FINALISTA"
"Old Dominion",32,25,50.7,15.5,21.6,32.3,26.2,33,49.3,35.7,2018,"NO FINALISTA"
"Louisiana Lafayette",32,27,52.7,18.3,19.6,35.9,27.9,38,52.4,35.4,2018,"NO FINALISTA"
"St. John's",32,16,49.2,16.4,22.2,23.6,32,30.4,48.8,33.3,2018,"NO FINALISTA"
"Buffalo",35,27,54.8,16.5,18.1,31.9,29.1,29.9,54.3,37.1,2018,"FINALISTA"
"LSU",33,18,54.5,16.6,19.6,29.2,31.6,32.5,56.3,34.6,2018,"NO FINALISTA"
"Georgetown",30,15,51.8,20.7,17,31.3,26,38.3,50.1,36.6,2018,"NO FINALISTA"
"Indiana",31,16,51.1,18.2,19.7,31.8,29.5,36.4,52.5,32.2,2018,"NO FINALISTA"
"Fresno St.",30,21,54.5,17.4,18.8,26.6,24.6,38.4,52.7,39,2018,"NO FINALISTA"
"Wisconsin",33,15,50.9,16.8,18.4,28.4,27.7,32.7,51.2,33.5,2018,"NO FINALISTA"
"South Carolina",32,17,46.2,19.7,21,33.6,27.5,42.8,43.5,33.8,2018,"NO FINALISTA"
"Northwestern",31,15,49.5,17.8,19,29.4,27.7,29.1,47.1,35.4,2018,"NO FINALISTA"
"Oregon",36,23,53.3,17.1,19,31,26.8,31.7,53.1,35.7,2018,"NO FINALISTA"
"St. Bonaventure",34,26,51.6,16.3,20.4,29.3,29.1,40.5,48.5,38.6,2018,"FINALISTA"
"South Dakota",31,26,52.1,15.7,19.9,29.4,27.1,35.7,51.9,35,2018,"NO FINALISTA"
"Murray St.",30,26,55,17.6,18,32.9,27.6,37.3,54.4,37.2,2018,"FINALISTA"
"Boston College",35,19,52.1,18.2,17.6,30.1,26,30.7,51.1,35.9,2018,"NO FINALISTA"
"Stanford",35,19,51.9,20.6,15.9,32.8,27,41.6,50.3,36.9,2018,"NO FINALISTA"
"Illinois",31,14,49.8,18.8,23.2,34,31.3,33.1,49.8,33.2,2018,"NO FINALISTA"
"Iowa St.",31,13,49.9,17,16.4,29.5,30.6,29.8,47.9,35.8,2018,"NO FINALISTA"
"Wake Forest",31,11,50.5,18.8,17.5,30.5,27.7,31.9,47.4,37.4,2018,"NO FINALISTA"
"BYU",35,24,54.1,16.8,18.5,22.5,22.8,37.6,55.3,34.7,2018,"NO FINALISTA"
"Belmont",33,24,58.8,18.1,16.9,25.2,25.7,27.9,61.7,37.6,2018,"NO FINALISTA"
"UNC Greensboro",32,27,51.7,19.8,21.4,33.7,23.9,26,51.1,35,2018,"FINALISTA"
"Iowa",33,14,54.3,18.7,15.5,34.1,28,35.4,53.3,37.5,2018,"NO FINALISTA"
"Montana",32,26,51.2,17.4,21.2,33.5,26.1,38.3,51.4,33.7,2018,"FINALISTA"
"Vanderbilt",32,12,51.8,17.7,14.7,28.6,27.7,36.2,50.8,35.3,2018,"NO FINALISTA"
"Temple",33,17,49.3,15.9,18.7,27.7,32.4,25.6,47.2,35,2018,"NO FINALISTA"
"DePaul",31,11,47.9,19.4,20.2,32.9,28.1,29.4,48.5,31,2018,"NO FINALISTA"
"Northern Kentucky",30,22,53.8,17.6,19.2,28,26.8,31,55.7,34,2018,"NO FINALISTA"
"SMU",33,17,52,18,21.7,32.7,31.7,30.5,48.7,37.9,2018,"NO FINALISTA"
"Furman",31,23,54.9,16.5,20.6,27,28.6,28.2,56.8,35.3,2018,"NO FINALISTA"
"Georgia St.",33,24,53.9,16.7,20.6,25.6,33.4,30.9,50.9,38.7,2018,"FINALISTA"
"Washington",34,21,51.7,18.6,21.1,28.9,33.3,36.7,51.6,34.6,2018,"NO FINALISTA"
"Tulsa",31,19,50.7,18.6,17.9,32,29.6,41.6,49.7,34.7,2018,"NO FINALISTA"
"Stephen F. Austin",31,28,53.1,20.7,25.9,32,28.5,40.5,51.7,37.4,2018,"FINALISTA"
"Utah Valley",31,23,54.2,19.8,17.5,30.9,27.5,39.1,51.9,38.9,2018,"NO FINALISTA"
"New Mexico",33,19,53.5,16.8,22,26.1,31,34.6,51.4,37.1,2018,"NO FINALISTA"
"Bucknell",35,25,53.9,17,17,27,27.5,42.6,55,34.8,2018,"FINALISTA"
"Vermont",34,27,55.9,16.9,16.8,26,22.6,41.8,53.8,39.9,2018,"NO FINALISTA"
"Northern Colorado",35,26,53.7,16.7,17.3,25.6,24.4,33.7,54,35.5,2018,"NO FINALISTA"
"Northern Iowa",30,16,48.5,17.5,17,24.5,22.1,31.3,47.3,33.5,2018,"NO FINALISTA"
"Oregon St.",32,16,52.1,19.4,18.6,31.8,28.7,38.7,53.3,32.9,2018,"NO FINALISTA"
"Northeastern",32,23,56.9,19.8,17.9,25.3,25.6,35.1,57.6,37.3,2018,"NO FINALISTA"
"Minnesota",32,15,48.7,15.5,16,30,29.5,35.1,47.1,34.6,2018,"NO FINALISTA"
"Mississippi",32,12,48.3,15.9,17.3,31.3,30.7,33.8,48.7,31.9,2018,"NO FINALISTA"
"East Tennessee St.",32,25,53.8,19.7,20.6,30.7,27.7,33.1,54.8,34.7,2018,"NO FINALISTA"
"Penn",32,24,52.9,16.6,17,23.8,22.6,33.4,53.3,34.8,2018,"FINALISTA"
"UNLV",33,20,53.5,19.1,15.5,34.5,29.9,43.4,54.8,33.4,2018,"NO FINALISTA"
"Marshall",35,25,54.7,17.2,18.4,22.4,32.3,33.1,55.5,35.9,2018,"FINALISTA"
"Colorado",32,17,50.6,20,15.1,29.3,26.3,33.3,48.8,35.8,2018,"NO FINALISTA"
"Grand Canyon",33,22,48.5,18.8,21.5,31.7,28.3,39.1,49.2,31.7,2018,"NO FINALISTA"
"UAB",31,20,54.7,19,17.6,30.9,25,28.3,55.9,34.8,2018,"NO FINALISTA"
"Georgia Tech",32,13,46.9,19.2,18.9,30.8,30.6,34.8,46.6,31.8,2018,"NO FINALISTA"
"San Diego",33,20,53.1,19.6,17.8,22.4,26.4,39.3,51.7,36.6,2018,"NO FINALISTA"
"Saint Joseph's",32,16,48.8,13.9,16.2,23.5,24.5,34.6,47.7,33.7,2018,"NO FINALISTA"
"Missouri St.",32,18,49.4,17.4,14.8,33.1,25.8,27.3,49.4,32.9,2018,"NO FINALISTA"
"Toledo",33,23,55.3,16.6,13.4,27.8,27.8,37.1,51.4,40.6,2018,"NO FINALISTA"
"UCF",32,19,47.8,20.7,18.9,28.5,28.6,43.1,47.1,32.9,2018,"NO FINALISTA"
"Bradley",32,20,48.9,20,20.3,31.3,29,37.8,46.6,35.6,2018,"NO FINALISTA"
"Eastern Washington",33,20,54,16.8,16.9,21.6,25,28,52,37.9,2018,"NO FINALISTA"
"UC Santa Barbara",30,23,53,14.9,16.6,28.7,27,32,50.5,38.3,2018,"NO FINALISTA"
"Wyoming",32,20,52.1,17.6,19.1,19.5,25.7,41.2,52.7,34.2,2018,"NO FINALISTA"
"Rutgers",33,15,43.6,17.2,20.5,33.3,29.1,30.5,43.4,29.6,2018,"NO FINALISTA"
"UT Arlington",33,21,52.5,20.1,19.3,30.8,27.7,34.8,51,36.5,2018,"NO FINALISTA"
"Harvard",31,18,50.4,20.5,18.4,26.5,23.1,27.6,48.5,35.4,2018,"NO FINALISTA"
"La Salle",32,13,49,16.5,17.5,25.5,25.4,31,48.8,32.9,2018,"NO FINALISTA"
"VCU",33,18,52.6,18.7,17.8,29,27,28.1,52.4,35.2,2018,"NO FINALISTA"
"North Texas",36,20,51.2,18.7,17.3,30.2,25.7,33.6,50,35.4,2018,"NO FINALISTA"
"Florida Gulf Coast",32,23,55.3,19.5,18.9,31.3,26.7,33.4,54.9,37.3,2018,"NO FINALISTA"
"UC Davis",31,22,52,18.6,21.9,24.4,29.1,38.5,50.7,36.6,2018,"NO FINALISTA"
"College of Charleston",32,26,52.7,15.1,17.8,25.5,27.9,36.6,52,35.9,2018,"FINALISTA"
"Evansville",30,17,48.7,20.9,20.9,23.9,26.1,34.6,44.5,39.8,2018,"NO FINALISTA"
"Wright St.",33,25,48.6,18.6,21,28.7,25.3,35.3,47.7,33.5,2018,"FINALISTA"
"Utah St.",33,17,53.2,18.8,17.6,25.4,26.4,33.2,52.5,36,2018,"NO FINALISTA"
"Eastern Michigan",31,22,51.4,18.7,20.1,30.4,32.7,29.2,52,33.6,2018,"NO FINALISTA"
"UC Irvine",33,18,48.1,20.5,14.8,32.3,24.8,28.2,47.5,33,2018,"NO FINALISTA"
"Saint Louis",32,17,47.1,19.5,18.3,33.8,27,45.8,46.6,32,2018,"NO FINALISTA"
"Illinois St.",32,18,49.8,18.9,18.1,26,31.5,33.8,49.4,33.6,2018,"NO FINALISTA"
"Louisiana Tech",31,17,50.9,17.9,18.2,27.4,29,36.5,48.2,36.7,2018,"NO FINALISTA"
"Indiana St.",29,13,49.5,20.1,19.8,27.6,23.6,34.1,46.5,35.9,2018,"NO FINALISTA"
"Drake",33,17,50.4,17.2,16.9,23.6,27.9,32.3,48.4,35.6,2018,"NO FINALISTA"
"San Francisco",38,22,49.4,17.4,17,28,25.7,29.3,48.4,33.8,2018,"NO FINALISTA"
"Southern Illinois",32,20,52.2,18.7,19.9,25.9,29,32.4,51.5,35.7,2018,"NO FINALISTA"
"Memphis",34,21,50.7,20.4,18.9,35.1,33.7,43.6,52.3,31.7,2018,"NO FINALISTA"
"Canisius",33,21,54.2,18.7,21.6,29.9,30.4,29.9,55.9,34.8,2018,"NO FINALISTA"
"Dayton",31,14,55.5,20.2,18.4,25.8,27.5,31.8,59.5,33.7,2018,"NO FINALISTA"
"Lipscomb",30,23,51.5,20,19.9,27.4,24.3,40.6,53.2,32.7,2018,"FINALISTA"
"Albany",31,22,50.5,17.5,17,34.6,24.3,37,48.7,36.8,2018,"NO FINALISTA"
"Idaho",29,22,54.7,19.4,16.1,31.1,24.2,30.4,50.3,41.1,2018,"NO FINALISTA"
"Iona",34,20,53.9,16,18.8,24.5,30.8,30.2,51.5,38.3,2018,"FINALISTA"
"Rider",32,22,52.6,17.6,20.5,33.5,28.6,42.1,52,35.8,2018,"NO FINALISTA"
"UTSA",32,20,51.1,17.1,16.3,26.5,27.3,29.6,49.3,35.5,2018,"NO FINALISTA"
"Georgia Southern",31,21,49.2,16.1,20.3,30.3,31.9,38.2,48.4,33.6,2018,"NO FINALISTA"
"Jacksonville St.",35,23,50.2,19.2,19.3,33.4,26.2,30.4,51.3,31.8,2018,"NO FINALISTA"
"Hofstra",30,19,53.2,15.6,16.3,30.6,27.5,36.5,51.6,37.3,2018,"NO FINALISTA"
"Mercer",32,19,54.3,18.8,16.5,31.4,24.9,35.7,52.7,37.8,2018,"NO FINALISTA"
"Wofford",31,21,55.2,18.2,18.7,25,27.1,28.5,50.9,40.2,2018,"NO FINALISTA"
"Valparaiso",30,15,50.8,21.2,19.5,26.7,28,36.7,50.5,34.1,2018,"NO FINALISTA"
"Central Michigan",33,21,51,17,17.9,31.1,31,33.7,50.5,34.4,2018,"NO FINALISTA"
"UMBC",33,25,52.2,17.2,20.7,25.9,28.3,30.2,48.1,38.2,2018,"FINALISTA"
"George Washington",33,15,49.5,19.2,17.1,31.7,30,28.9,50.2,32.1,2018,"NO FINALISTA"
"Portland St.",31,20,49.2,16.5,22,34.7,30.5,33.3,48.9,33.2,2018,"NO FINALISTA"
"Oakland",33,19,52,18.1,16.9,28,28.6,35.5,51.4,35.2,2018,"NO FINALISTA"
"William & Mary",29,19,59.5,17.2,14.4,21.2,25.4,33.4,56.6,42.2,2018,"NO FINALISTA"
"Ball St.",31,19,51.4,18.4,16.7,28,27.5,33.2,51.7,33.9,2018,"NO FINALISTA"
"Weber St.",28,20,56,17.5,15.9,19.3,26.8,35.1,52.5,41,2018,"NO FINALISTA"
"Tulane",31,14,51.5,18.8,17.2,27.5,30,34.5,50.9,35,2018,"NO FINALISTA"
"Cal St. Fullerton",30,20,51.6,20.7,18.2,26,28.9,45.6,52,33.8,2018,"FINALISTA"
"Pacific",31,14,48.5,17.2,18.3,30.3,27.3,40.5,48.4,32.6,2018,"NO FINALISTA"
"Richmond",32,12,52.1,16.9,19,23.4,28.3,29.7,53.2,33.4,2018,"NO FINALISTA"
"Seattle",31,20,51,19.6,15.5,29.7,27.9,34.5,47.4,37.2,2018,"NO FINALISTA"
"Austin Peay",32,19,49.9,19.8,22.1,34.7,28.9,35.9,49,34.8,2018,"NO FINALISTA"
